FAA	ICAO	LATITUDE	LONGITITUDE	NAME	CITY	COUNTRY
GKA	AYGA	-6.081689	145.391881	Goroka	Goroka	Papua New Guinea
MAG	AYMD	-5.207083	145.7887	Madang	Madang	Papua New Guinea
HGU	AYMH	-5.826789	144.295861	Mount Hagen	Mount Hagen	Papua New Guinea
LAE	AYNZ	-6.569828	146.726242	Nadzab	Nadzab	Papua New Guinea
POM	AYPY	-9.443383	147.22005	Port Moresby Jacksons Intl	Port Moresby	Papua New Guinea
WWK	AYWK	-3.583828	143.669186	Wewak Intl	Wewak	Papua New Guinea
UAK	BGBW	61.160517	-45.425978	Narsarsuaq	Narssarssuaq	Greenland
GOH	BGGH	64.190922	-51.678064	Nuuk	Godthaab	Greenland
SFJ	BGSF	67.016969	-50.689325	Sondre Stromfjord	Sondrestrom	Greenland
THU	BGTL	76.531203	-68.703161	Thule Air Base	Thule	Greenland
AEY	BIAR	65.659994	-18.072703	Akureyri	Akureyri	Iceland
EGS	BIEG	65.283333	-14.401389	Egilsstadir	Egilsstadir	Iceland
HFN	BIHN	64.295556	-15.227222	Hornafjordur	Hofn	Iceland
HZK	BIHU	65.952328	-17.425978	Husavik	Husavik	Iceland
IFJ	BIIS	66.058056	-23.135278	Isafjordur	Isafjordur	Iceland
KEF	BIKF	63.985	-22.605556	Keflavik International Airport	Keflavik	Iceland
PFJ	BIPA	65.555833	-23.965	Patreksfjordur	Patreksfjordur	Iceland
RKV	BIRK	64.13	-21.940556	Reykjavik	Reykjavik	Iceland
SIJ	BISI	66.133333	-18.916667	Siglufjordur	Siglufjordur	Iceland
VEY	BIVM	63.424303	-20.278875	Vestmannaeyjar	Vestmannaeyjar	Iceland
YAM	CYAM	46.485001	-84.509445	Sault Ste Marie	Sault Sainte Marie	Canada
YAV	CYAV	50.056389	-97.0325	Winnipeg St Andrews	Winnipeg	Canada
YAW	CYAW	44.639721	-63.499444	Shearwater	Halifax	Canada
YAY	CYAY	51.391944	-56.083056	St Anthony	St. Anthony	Canada
YAZ	CYAZ	49.082222	-125.7725	Tofino	Tofino	Canada
YBB	CYBB	68.534444	-89.808056	Kugaaruk	Pelly Bay	Canada
YBC	CYBC	49.1325	-68.204444	Baie Comeau	Baie Comeau	Canada
YBG	CYBG	48.330555	-70.996391	Bagotville	Bagotville	Canada
YBK	CYBK	64.298889	-96.077778	Baker Lake	Baker Lake	Canada
YBL	CYBL	49.950832	-125.270833	Campbell River	Campbell River	Canada
YBR	CYBR	49.91	-99.951944	Brandon Muni	Brandon	Canada
YCB	CYCB	69.108055	-105.138333	Cambridge Bay	Cambridge Bay	Canada
YCD	CYCD	49.052333	-123.870167	Nanaimo	Nanaimo	Canada
YCG	CYCG	49.296389	-117.6325	Castlegar	Castlegar	Canada
YCH	CYCH	47.007778	-65.449167	Miramichi	Chatham	Canada
YCL	CYCL	47.990833	-66.330278	Charlo	Charlo	Canada
